what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1477593356882
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1477593356883
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1477593356883
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1477593356884
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1477593356884
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1477593356885
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1477593356885
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1477593356885
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1477593356886
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1477593356886
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1477593356887
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1477593356887
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1477593356888
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1477593356888
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1477593356889
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1477593356889
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1477593356889
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1477593356890
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1477593356891
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1477593356892
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1477593356892
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1477593356892
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1477593356892
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1477593356893
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1477593356894
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1477593356894
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1477593356895
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1477593356895
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477593356896
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477593356896
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477593356896
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1477593356897
os,sysinfo,,,"macosx",1477593356900
arch,sysinfo,,,"x86_64",1477593356900
ws,sysinfo,,,"cocoa",1477593356900
locale,sysinfo,,,"es_ES",1477593356900
processors,sysinfo,,,"4",1477593356900
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477593356900
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1477593356900
java.specification.name,sysinfo,,,"Java Platform API Specification",1477593356900
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477593356900
java.specification.version,sysinfo,,,"1.6",1477593356900
java.vendor,sysinfo,,,"Apple Inc.",1477593356900
java.version,sysinfo,,,"1.6.0_65",1477593356900
java.vm.info,sysinfo,,,"mixed mode",1477593356900
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477593356900
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477593356900
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477593356900
java.vm.specification.version,sysinfo,,,"1.0",1477593356900
java.vm.vendor,sysinfo,,,"Apple Inc.",1477593356900
java.vm.version,sysinfo,,,"20.65-b04-468",1477593356900
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1477593356904
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1477593357090
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1477593360888
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1477593364369
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1477593364382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1477593364574
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1477593366819
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1477593375457
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1477593378487
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1477593380283
