what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1479323729697
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1479323729703
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1479323729704
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1479323729714
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1479323729719
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1479323729729
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1479323729730
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1479323729731
os,sysinfo,,,"macosx",1479323729733
arch,sysinfo,,,"x86_64",1479323729733
ws,sysinfo,,,"cocoa",1479323729733
locale,sysinfo,,,"es_ES",1479323729733
processors,sysinfo,,,"4",1479323729733
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479323729733
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1479323729734
java.specification.name,sysinfo,,,"Java Platform API Specification",1479323729734
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1479323729734
java.specification.version,sysinfo,,,"1.6",1479323729734
java.vendor,sysinfo,,,"Apple Inc.",1479323729734
java.version,sysinfo,,,"1.6.0_65",1479323729734
java.vm.info,sysinfo,,,"mixed mode",1479323729734
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1479323729734
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479323729734
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1479323729734
java.vm.specification.version,sysinfo,,,"1.0",1479323729734
java.vm.vendor,sysinfo,,,"Apple Inc.",1479323729734
java.vm.version,sysinfo,,,"20.65-b04-468",1479323729734
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1479323729753
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1479323730302
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1479323731559
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1479323734250
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1479323737652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1479323740072
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1479323744572
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1479323744720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1479323744804
