what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1477592298773
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1477592298781
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477592298781
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477592298786
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477592298795
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1477592298795
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1477592298796
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1477592298797
os,sysinfo,,,"macosx",1477592298800
arch,sysinfo,,,"x86_64",1477592298800
ws,sysinfo,,,"cocoa",1477592298800
locale,sysinfo,,,"es_ES",1477592298800
processors,sysinfo,,,"4",1477592298800
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477592298800
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1477592298800
java.specification.name,sysinfo,,,"Java Platform API Specification",1477592298800
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477592298800
java.specification.version,sysinfo,,,"1.6",1477592298800
java.vendor,sysinfo,,,"Apple Inc.",1477592298800
java.version,sysinfo,,,"1.6.0_65",1477592298800
java.vm.info,sysinfo,,,"mixed mode",1477592298800
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477592298800
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477592298800
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477592298800
java.vm.specification.version,sysinfo,,,"1.0",1477592298800
java.vm.vendor,sysinfo,,,"Apple Inc.",1477592298800
java.vm.version,sysinfo,,,"20.65-b04-468",1477592298800
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1477592298808
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1477592298929
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1477592299848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477592300520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477592444697
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1477592446701
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1477592489184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477592491841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477592493688
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477592494920
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477592495050
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477592495620
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477592495631
