ABACO MATEMATICA 4;GONZALEZ SALAZAR, JUDITH;0;81,4,,,
ABACO MATEMATICA 6;GONZALEZ SALAZAR, JUDITH;0;81,4,,,
ABANICO INDIO EL;HOLT, VICTORIA;34,65;86,9,,
ABAQUITO 1;GONZALEZ SALAZAR, JUDITH;0;58,3,,,
ABASTECIMIENTO D/AGUAS Y REMOCION D/AGUAS RESID. 1;FAIR;21,32;145,2,,,
ABASTECIMIENTO DE MATERIALES Y LA VIVIENDA;TAMEZ TEJEDA, ANTONIO;13,79;46,2,,
ABC DE AUTOCAD VERSION 12 EL;MILLER;0;63,8,,,,
ABC DE DOS 6.2 EL;MILLER, ALAN;0;52,25,,,
ABC DE DOS 6;MILLER, ALAN R.;0;52,8,,,
ABC DE EXCEL 4 PARA WINDOWS EL;NEIBAUER, ALAN;0;56,65,,,
ABC DE EXCEL 5 PARA WINDOWS EL;CARDENAS ARELLANO, AGUSTIN;0;75,9,,,
ABC DE EXCEL 5 PARA WINDOWS;CARDENAS, AGUSTIN J.;0;85,,,,
ABC DE KATY Y SAM EL;BRIMAX;0;36,,,,,
ABC DE LA CARTOMANCIA;COLECCION ABC-ESO;0;63,8,,,,
ABC DE LA CIBERNETICA;KASATKIN;5,2;5,72,,,
ABC DE LA CIENCIA DEL CAMINO HACIA DIOS;ORION EDITORES;0;30,,,,,
ABC DE LA CONSERVACION;THEILE, JOHANNA    -ARRAYAN;25;25,,,,
ABC DE LA CONTABILIDAD;ROJAS, DEMOSTENES;0;67,,,,
ABC DE LA HIPNOSIS;COLECCION ABC-ESO;0;63,8,,,,
ABC DE LA INFORMATICA 1;SANTILLANA;13,8;48,4,,,
ABC DE LA INFORMATICA 2;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 3;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 4;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 5;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 6;SANTILLANA;0;48,4,,,,
ABC DE LA MACROBIOTICA EL;HERNANDEZ, ANA MARIA;0;0,,,,
ABC DE LA VIDA;COLMENARES VARGAS, OCTAVIO;0;104,5,,,
ABC DE LAS APERTURAS;PANOV;0;118,,,,,
ABC DE LAS INSTALACIONES ELECTRICAS INDUSTRIALES;ENRIQUEZ;23,83;114,4,,,
ABC DE LAS INSTALACIONES ELECTRICAS RESIDENCIALES;ENRIQUEZ;12,54;58,3,,,
ABC DE LAS LECTURAS;SUROMEX;6,5;11,,,,
ABC DE LAS MAQUINAS ELECTRICAS 1 EL;ENRIQUEZ;13,17;88,,,,
ABC DE LAS MAQUINAS ELECTRICAS 2 EL;ENRIQUEZ;15,68;102,3,,,
ABC DE LAS MAQUINAS ELECTRICAS 3 EL;ENRIQUEZ;21,95;95,7,,,
ABC DE MICROSOFT WORD PARA WINDOWSVERSION 2.0 EL;NEIBAUER, ALAN;0;72,6,,,
ABC DE POWER POINT 4 PARA WINDOWS EL;SCHLITTLER JAIME;0;82,5,,,,
ABC DE QUATTRO PRO PARA WINDOWS;SIMPSON - WOLF;0;70,4,,,,
ABC DE SU PC CON DOS EL;LASSELLE-RAMSAY;0;52,25,,,,
ABC DE TERMINOS FISCALES (2 TOMOS);TAX;0;380,,,,,
ABC DE VENTURA EL;COWART, R.     -VENTURA;28;47,85,,,
ABC DE WINDOWS 3.0 EL;JAMSA, KRIS    -VENTURA;31,5;49,5,,
ABC DE WINDOWS 3.1 EL;NEIBAUER, ALAN;0;66,55,,,
ABC DE WORD 6 PARA WINDOWS EL;NEIBAUER, ALAN R.;0;55,,,,
ABC DE WORDPERFECT 5.1 EL;VENTURA;0;59,95,,,,
ABC DE WORDPERFECT 5.1 PARA WINDOWS EL;VENTURA;0;70,4,,,,
ABC DE WORDPERFECT 6 P DOS;NEIBAUER ,ALAN;0;57,75,,,
ABC DE WORDPERFECT 6 PARA WINDOWS EL;VENTURA;0;66,55,,,,
ABC DEL 1-2-3 Versión 2.2 EL;GILBERT, CHRIS -VENTURA;28;44,,,,
ABC DEL 1-2-3 Versión 2.3 EL;GILBERT, CHRIS -VENTURA;31,5;49,5,,
ABC DEL 1-2-3 Version 2.4 para DOS;GILBERT - WILLIAMS;0;63,8,,,,
ABC DEL 1-2-3 Version 3;ROBBINS, JUDD;0;71,5,,,
ABC DEL ACUARIO TROPICAL DE AGUA DULCE C-02076;MARIANI, MAURO;0;109,,,,
ABC DEL ADMINISTRADOR DE LA CAPACITACION EL;REZA TROSINO JESUS CARLOS;0;57,,,,,
ABC DEL AIRE ACONDICIONADO;TRICOMI, ERNEST;0;87,,,,
ABC DEL ALUMBRADO Y LAS INST.ELECT.EN BAJA TENSION;ENRIQUEZ;13,17;78,1,,,
ABC DEL AUTOCAD EL;MILLER, ALAN   -VENTURA;35;55,,,,
ABC DEL AUTOCAD Versión 11 EL;MILLER, ALAN   -VENTURA;38,5;65,45,,
ABC DEL COMUNISMO;BUJARIN;5,85;20,9,,,
ABC DEL CORTE DEL CABELLO EL;CHARLES, ANNE;0;0,,,,
ABC DEL DBASE 1V Versión 1.1 EL;COWART, ROBERT -VENTURA;32,9;51,7,,
ABC DEL DOS 4 EL;MILLER, ALAN   -VENTURA;28;44,,,,
ABC DEL DOS 5 EL;MILLER, ALAN   -VENTURA;28;44,,,,
ABC DEL INSTRUCTOR EL (Y TAMBIEN DEL PROFESOR MO;REZA TROSINO, JESUS CARLOS;0;57,,,,
ABC DEL MAGNETISMO;COLECCION ABC-ESO;0;63,8,,,,
ABC DEL MICROSOFT WORD Versión 4.0 EL;NEIBAUER, ALAN -VENTURA;26,6;41,8,,
ABC DEL MICROSOFT WORD Versión 5.5 EL;NEIBAUER, ALAN -VENTURA;35;55,,,,
ABC DEL MS-DOS EL;MILLER, ALAN   -VENTURA;20,3;31,9,,
ABC DEL NOVEL NETWARE EL;WOODWAR, JEFF  -VENTURA;28;44,,,,
ABC DEL PERIODISMO;GORZ;7,2;13,2,,,
ABC DEL QUATRO PRO 4 PARA EL DOS EL;SIMPSON;0;65,,,,,
ABC DEL YOGA;COLECCION ABC-ESO;0;63,8,,,,
ABC INTRODUCCION A LA FISICA Y LA QUIMICA 1;RINCON ARCE;10,88;31,9,,,
ABC LECTURA Y ESCRITURA CUADERNO DE EJERCICIOS 1;SANCHEZ;0;20,,,,,
ABC LECTURA Y ESCRITURA;SANCHEZ;0;20,,,,,
ABC LIBRO DE COLOREAR;EPOCA;1,96;5,5,,,
ABC PEGAR Y COLOREAR 5-6 AÑOS;LIBERICA;0;45,1,,,,
ABC y XYZ DE LA APICULTURA;ROOT       - HEMISFERIO SUR;91;140,,,,,
ABCHE;RIUS;12,16;49,5,,,
ABDOMEN AGUDO;ZAMBADA SENTIES, CARLOS;0;22,,,,
ABDUL BASHUR SOÑADOR DE NAVIOS;MUTIS ALVARO;0;95,,,,,
ABECE DE MS-DOS 5 EL;CEBALLOS, FRANCISCO JAVIER;0;66,,,,
ABECEDARIO PARA NIÑAS SOLITARIAS;BARAHONA, ROSAURA;0;44,,,,
ABEJA LA;HOGAN PAULA;15;27,5,,,,
ABEJARREINA;FERNENDEZ, GEORGINA;0;56,1,,,
ABEJAS. AUMENTE SU PRODUCCION;ZUÑIGA;0;22,,,,,
ABEJITAS ORTOGRAFICO;AVANTE;14;27,5,,,,
ABEJITAS TOMO 1;AVANTE;18,13;48,4,,,
ABEJITAS TOMO 2;AVANTE;17,5;27,5,,,
ABENCERRAJE EL;ANONIMO;0;16,,,,,
ABOGACIA LA;RODRIGUEZ ISMAEL;0;25,,,,,
ABOGADO DEL DIABLO EL;CALDWELL, TAYLOR;17,88;64,9,,
ABOGADO DEL DIABLO;WEST, MORRIS;25,62;69,3,,
ABOGANCIA LA;RODRIGUEZ, C.;0;42,35,,,
ABONOS GUIA PRACTICA DE FERTILIZACION;GROS, ANDRE;0;345,,,,
ABORTO EL;TRUEBA OLIVARES, EUGENIO;0;23,1,,,
ABRA SU MENTE;TULKU, TARTHANG;0;79,,,,
ABRACADABRA! CASSETTE 1;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! CASSETTE 2;SLATER, SALTER;0;119,9,,,
ABRACADABRA! CASSETTE 3;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! CASSETTE 4;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! CASSETTE 5 (2);SLATER, SANDRA;0;239,8,,,
ABRACADABRA! CASSETTE 6;SLATER, SANDRA;0;239,8,,,
ABRACADABRA! CASSETTE PRE-PRIMARY;DELTI;0;100,1,,,,
ABRACADABRA! FLASHCARDS NIVEL 1 Y 2;DELTI;0;350,9,,,,
ABRACADABRA! FLASHCARDS NIVEL PRE-PRIMARY;DELTI;0;350,9,,,,
ABRACADABRA! PRE-PRIMARY;EAST, CHRISTINA;0;93,5,,,
ABRACADABRA! PUPIL'S BOOK 1;SLATER, SANDRA;0;121,,,,
ABRACADABRA! PUPIL'S BOOK 2;SLATER, SANDRA;0;121,,,,
ABRACADABRA! PUPIL'S BOOK 3;SLATER, SANDRA;0;123,2,,,
ABRACADABRA! PUPIL'S BOOK 4;SLATER, SANDRA;0;123,2,,,
ABRACADABRA! PUPIL'S BOOK 5;SLATER, SANDRA;0;125,4,,,
ABRACADABRA! PUPIL'S BOOK 6;SLATER, SANDRA;0;125,4,,,
ABRACADABRA! SAMPLER;MACMILLAN;0;33,,,,,
ABRACADABRA! TEACHER'S BOOK 1;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEACHER'S BOOK 2;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEACHER'S BOOK 3;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEACHER'S BOOK 4;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEACHER'S BOOK 5;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEACHER'S BOOK 6;SLATER, SANDRA;0;119,9,,,
ABRACADABRA! TEST BOOK 1;MACMILLAN;0;41,8,,,,
ABRACADABRA! TEST BOOK 2;MACMILLAN;0;41,8,,,,
ABRACADABRA! TEST BOOK 3;MACMILLAN;0;41,8,,,,
