PRODUCCION Y GENOTECNIA DE PLANTAS AUTOGAMAS;MARQUEZ SANCHEZ, FIDEL;0;105
QUIMICA ALMACENAMIENTO E INDUSTRIALIZACION DE LOS;SERNA SALDIVAR, SERGIO;0;160
BIOTECNOLOGIA PARA EL APROVECHAMIENTO DE LOS DESPE;MONROY, OSCAR;0;47
GUIA DE PRACTICAS DE CAMPO PROTOZOARIOS E INVERTEB;ALADRO LUBEL, MARIA ANTONIETA;0;51
TECNICAS EN BIOLOGIA CELULAR TEORIA Y PRACTICA;GONZALEZ MORAN, GENOVEVA;0;100
ARTHROPODA GUIA DE PRACTICAS;GARCIA ACOSTA, RAUL;0;58
UNA CLAVE DE CAMPO DE LAS ALGAS PARDAS DE LAS COST;ORTEGA, MARTHA;0;32
ENFERMEDADES ORTOPEDICAS DE LOS EQUINOS;JONES;0;160
PASTOS TROPICALES Y PLANTAS DE FORRAJE;BOGDAN;0;220
MOTOR DE GASOLINA EL;#¿NOMBRE?;0;313,5
GUIAS DE INYECCION DE GASOLINA  MOD. VOLKWAGEN;DE CASTRO;0;55
MOTORES DIESEL;SEALE      -CEAC;45,2;49,72
DIRECCION LA;DURAN;0;60,5
PEQUEÑAS REPARACIONES Y MANTENIMIENTO DEL AUTOMOVI;BARBER;0;46,2
MOTORES DIESEL PARA CAMIONES Y AUTOMOVILES;PLA PRADES;0;53,9
PROYECTOS E INSTALACIONES DE COCINAS;DE CUSA     -CEAC;70;147,4
NUEVA ARQUITECTURA EN AMERICA: PRESENTE Y FUTURO;TOCA;0;0
COMO SE PROYECTA UNA VIVIENDA;ULSAMER;0;82,5
INSTALACIONES SANITARIAS EN VIVIENDAS;ORTEGA;0;82,5
AISLAMIENTO TERMICO Y ACUSTICO;PAYA;0;0
REPARACION DE LESIONES EN EDIFICIOS;DE CUSA;0;0
MANUAL DE BAFFLES Y ALTAVOCES;#¿NOMBRE?;0;122,1
MANUAL DEL BOBINADOR;#¿NOMBRE?;0;112,2
TRABAJOS MANUALES PARA NAVIDAD;#¿NOMBRE?;0;46,2
DIBUJANDO LA FIGURA HUMANA;CALDERON;0;91,3
JUGUETES Y OBJETOS PARA JUGAR;NOWSON;0;60,5
INJERTO EN LOS ARBOLES FRUTALES Y LA VID EL;BONFIGLIOLI-MARRO;0;75,9
CULTIVO DE FRUTALES;SCHMID;0;129,8
BONSAI;CHAN PETER;0;248,6
TABLA PERIODICA DE LOS ELEMENTOS;ACONCAGUA;0;11
PEQUEÑAS REPARACIONES Y MANT. DE LA MOTOCICLETA;WILLIAMS JOHN -CEAC;65;79,2
ELECTRICIDAD Y ELECTRODOMESTICOS;#¿NOMBRE?;47;127,6
FONTANERIA Y ALBAÑILERIA;#¿NOMBRE?;47;61,6
FONTANERIA;#¿NOMBRE?;47;99
MUEBLES TAPIZADOS;DAL FABBRO   -CEAC;47;57,2
RESTAURACION DE MUEBLES;HAYWARD CHARLES-CEAC;42;205,7
ALBAÑILERIA;#¿NOMBRE?;47;127,6
EN 30 DIAS CABELLO MAS ATRACTIVO;DAVIS JULIE;9,5;16,5
SEGURIDAD DEL NIÑO EN EL HOGAR;HAYWARD MIKE;9;12,1
MANUAL DE SUPERVIVENCIA;LE BRUN DOMINIQUE;79;184,8
EN 30 DIAS CINTURA MAS FINA;BURSTEIN;9,5;16,5
INJERTO EL;#¿NOMBRE?;32;83,6
MODELOS WOLSWAGEN;CASTRO MIGUEL DE;37;99
COLOR EN ARQUITECTURA Y DECORACION;#¿NOMBRE?;51;95,7
COLOR EN LA INDUSTRIA EL;#¿NOMBRE?;54;108,9
FUNDAMENTOS DE LA DECORACION;#¿NOMBRE?;61;73,7
CREACION EN PUBLICIDAD;#¿NOMBRE?;47;60,5
GUIA PRACTICA PARA LA DECORACION DEL HOGAR 1;#¿NOMBRE?;90,5;108,9
GUIA PRACTICA PARA LA DECORACION DEL HOGAR 2;#¿NOMBRE?;85;102,3
DECORACION DE OFICINAS Y DESPACHOS;#¿NOMBRE?;85;102,3
EN 30 DIAS PIERNAS MAS ESBELTAS;STEHLING WENDY;9,5;16,5
COMO RESTAURAR Y REPARAR CASI TODO;JOHNSON     -CUPULA;95;278,3
PRACTICA DEL CHAPEADO DE MADERA;HAYWARD     -CEAC;37,6;46,2
200 MODELOS DE VENTANAS;AYUSO      -CEAC;37,6;82,5
TRAZADO DE PLANCHISTERIA Y CALDERIA I;LOBJOIS     -CEAC;34,3;135,3
TRAZADO DE PLANCHISTERIA Y CALDERIA II;LOBJOIS     -CEAC;37,4;143
ALFARERIA Y CERAMICA;HAMILTON    -CEAC;65;171,6
